country,ALLITEM,COST,Type,value
Austria,Mill,Fuel,Cropland,0.0357546465151005
Austria,Mill,K,Cropland,0.010859944370860358
Austria,Mill,Labor,Cropland,0.030487548032236363
Austria,Mill,Machinery,Cropland,0.27179997222708663
Austria,Mill,N,Cropland,0.031607300780862234
Austria,Mill,P,Cropland,0.009919829783532147
Austria,Mill,Plant Protection,Cropland,0.008094923205082396
Austria,Pota,Fuel,Cropland,0.1318903623629269
Austria,Pota,K,Cropland,0.025730027403412677
Austria,Pota,Labor,Cropland,0.09458644431610452
Austria,Pota,Machinery,Cropland,2.0467394380312256
Austria,Pota,N,Cropland,0.07488590065172346
Austria,Pota,P,Cropland,0.02350265189684859
Austria,Pota,Plant Protection,Cropland,0.2717373425492901
Austria,Rape,Fuel,Cropland,0.05634637068927878
Austria,Rape,K,Cropland,0.004718656298084232
Austria,Rape,Labor,Cropland,0.005277532609243964
Austria,Rape,Machinery,Cropland,0.3105138692454661
Austria,Rape,N,Cropland,0.013733402658603362
Austria,Rape,P,Cropland,0.004310175603623208
Austria,Rape,Plant Protection,Cropland,0.011889901654575553
Austria,Rice,Fuel,Cropland,0.03598426351106903
Austria,Rice,K,Cropland,0
Austria,Rice,Labor,Cropland,0.09621052145796004
Austria,Rice,Machinery,Cropland,0.2508536910516608
Austria,Rice,N,Cropland,0
Austria,Rice,P,Cropland,0
Austria,Rice,Plant Protection,Cropland,0.01570334213959656
Austria,Soya,Fuel,Cropland,0.0718455179171549
Austria,Soya,K,Cropland,0.0043841321222022915
Austria,Soya,Labor,Cropland,0.020134334422862575
Austria,Soya,Machinery,Cropland,0.2378621002887687
Austria,Soya,N,Cropland,0.012759787519842488
Austria,Soya,P,Cropland,0.00400461023699672
Austria,Soya,Plant Protection,Cropland,0.009244052872213037
Austria,Srgh,Fuel,Cropland,0.05072895489504854
Austria,Srgh,K,Cropland,0.023685530149237227
Austria,Srgh,Labor,Cropland,0.06267894751173826
Austria,Srgh,Machinery,Cropland,0.36317857536718806
Austria,Srgh,N,Cropland,0.06893549819554118
Austria,Srgh,P,Cropland,0.021635140972139078
Austria,Srgh,Plant Protection,Cropland,0.007955887425841902
Austria,Sunf,Fuel,Cropland,0.05634637068927878
Austria,Sunf,K,Cropland,0.004718656298084232
Austria,Sunf,Labor,Cropland,0.005277532609243964
Austria,Sunf,Machinery,Cropland,0.3105138692454661
Austria,Sunf,N,Cropland,0.013733402658603362
Austria,Sunf,P,Cropland,0.004310175603623208
Austria,Sunf,Plant Protection,Cropland,0.011889901654575553
Austria,SwPo,Fuel,Cropland,0.1318903623629269
Austria,SwPo,K,Cropland,0.025730027403412677
Austria,SwPo,Labor,Cropland,0.09458644431610452
Austria,SwPo,Machinery,Cropland,2.0467394380312256
Austria,SwPo,N,Cropland,0.07488590065172346
Austria,SwPo,P,Cropland,0.02350265189684859
Austria,SwPo,Plant Protection,Cropland,0.2717373425492901
Austria,Whea,Fuel,Cropland,0.03598426351106903
Austria,Whea,K,Cropland,0.015672514974370902
Austria,Whea,Labor,Cropland,0.031950218569386374
Austria,Whea,Machinery,Cropland,0.2508536910516608
Austria,Whea,N,Cropland,0.0456140361194377
Austria,Whea,P,Cropland,0.014315789797485061
Austria,Whea,Plant Protection,Cropland,0.015118459693252081
Austria,Extensive Grassland,fertCost_N,Grassland,0.023275521387776152
Austria,Extensive Grassland,fertCost_P,Grassland,0.012245588989698705
Austria,Extensive Grassland,fuelCost,Grassland,0.03655646555157471
Austria,Extensive Grassland,labourCost,Grassland,0.0648506473047761
Austria,Extensive Grassland,machCost,Grassland,0.1361557551257233
Austria,Extensive Grassland,seedCost,Grassland,0.013074901958022899
Austria,Grassland,fertCost_N,Grassland,0.05896753826280537
Austria,Grassland,fertCost_P,Grassland,0.02140296140570219
Austria,Grassland,fuelCost,Grassland,0.055161713025764954
Austria,Grassland,labourCost,Grassland,0.1194126144641188
Austria,Grassland,machCost,Grassland,0.15841275855089493
Austria,Grassland,seedCost,Grassland,0.01311273057363632
Belgium,Barl,Fuel,Cropland,0.03693812628730026
Belgium,Barl,K,Cropland,0.01690129437216466
Belgium,Barl,Labor,Cropland,0.014652364645622916
Belgium,Barl,Machinery,Cropland,0.21337348906063397
Belgium,Barl,N,Cropland,0.04919033436674789
Belgium,Barl,P,Cropland,0.015438197247410105
Belgium,Barl,Plant Protection,Cropland,0.01466638985245922
Belgium,BeaD,Fuel,Cropland,0.07736521714921762
Belgium,BeaD,K,Cropland,0
Belgium,BeaD,Labor,Cropland,0.006663298513185207
Belgium,BeaD,Machinery,Cropland,0.2805566175322673
Belgium,BeaD,N,Cropland,0
Belgium,BeaD,P,Cropland,0
Belgium,BeaD,Plant Protection,Cropland,0.014093553987865614
Belgium,Cass,Fuel,Cropland,0.11230163185751504
Belgium,Cass,K,Cropland,0.033695948028964286
Belgium,Cass,Labor,Cropland,0.033059049645110826
Belgium,Cass,Machinery,Cropland,1.137510512743253
Belgium,Cass,N,Cropland,0.0980702965022095
Belgium,Cass,P,Cropland,0.030778985363770363
Belgium,Cass,Plant Protection,Cropland,0.10289749479016072
Belgium,ChkP,Fuel,Cropland,0.07736521714921762
Belgium,ChkP,K,Cropland,0
Belgium,ChkP,Labor,Cropland,0.006663298513185207
Belgium,ChkP,Machinery,Cropland,0.2805566175322673
Belgium,ChkP,N,Cropland,0
Belgium,ChkP,P,Cropland,0
Belgium,ChkP,Plant Protection,Cropland,0.014093553987865614
Belgium,Corn,Fuel,Cropland,0.10469699861578927
Belgium,Corn,K,Cropland,0.010937373294647426
Belgium,Corn,Labor,Cropland,0.024185776427241575
Belgium,Corn,Machinery,Cropland,0.42456467715189966
Belgium,Corn,N,Cropland,0.03183265361874997
Belgium,Corn,P,Cropland,0.00999055590496153
Belgium,Corn,Plant Protection,Cropland,0.01455666865230071
Belgium,Gnut,Fuel,Cropland,0.07736521714921762
Belgium,Gnut,K,Cropland,0
Belgium,Gnut,Labor,Cropland,0.006663298513185207
Belgium,Gnut,Machinery,Cropland,0.2805566175322673
Belgium,Gnut,N,Cropland,0
Belgium,Gnut,P,Cropland,0
Belgium,Gnut,Plant Protection,Cropland,0.014093553987865614
Belgium,Mill,Fuel,Cropland,0.03693812628730026
Belgium,Mill,K,Cropland,0.01690129437216466
Belgium,Mill,Labor,Cropland,0.014652364645622916
Belgium,Mill,Machinery,Cropland,0.21337348906063397
Belgium,Mill,N,Cropland,0.04919033436674789
Belgium,Mill,P,Cropland,0.015438197247410105
Belgium,Mill,Plant Protection,Cropland,0.01466638985245922
Belgium,Pota,Fuel,Cropland,0.11230163185751504
Belgium,Pota,K,Cropland,0.033695948028964286
Belgium,Pota,Labor,Cropland,0.033059049645110826
Belgium,Pota,Machinery,Cropland,1.137510512743253
Belgium,Pota,N,Cropland,0.0980702965022095
Belgium,Pota,P,Cropland,0.030778985363770363
Belgium,Pota,Plant Protection,Cropland,0.10289749479016072
Belgium,Rape,Fuel,Cropland,0.05794674407440494
Belgium,Rape,K,Cropland,0
Belgium,Rape,Labor,Cropland,0.004482583420594795
Belgium,Rape,Machinery,Cropland,0.21265928145251298
Belgium,Rape,N,Cropland,0
Belgium,Rape,P,Cropland,0
Belgium,Rape,Plant Protection,Cropland,0.016133171079315747
Belgium,Rice,Fuel,Cropland,0.03363156066497546
Belgium,Rice,K,Cropland,0
Belgium,Rice,Labor,Cropland,0.05870166531423262
Belgium,Rice,Machinery,Cropland,0.20363645876972047
Belgium,Rice,N,Cropland,0
Belgium,Rice,P,Cropland,0
Belgium,Rice,Plant Protection,Cropland,0.014617415953335964
Belgium,Soya,Fuel,Cropland,0.07736521714921762
Belgium,Soya,K,Cropland,0
Belgium,Soya,Labor,Cropland,0.006663298513185207
Belgium,Soya,Machinery,Cropland,0.2805566175322673
Belgium,Soya,N,Cropland,0
Belgium,Soya,P,Cropland,0
Belgium,Soya,Plant Protection,Cropland,0.014093553987865614
Belgium,Srgh,Fuel,Cropland,0.10469699861578927
Belgium,Srgh,K,Cropland,0.010937373294647426
Belgium,Srgh,Labor,Cropland,0.024185776427241575
Belgium,Srgh,Machinery,Cropland,0.42456467715189966
Belgium,Srgh,N,Cropland,0.03183265361874997
Belgium,Srgh,P,Cropland,0.00999055590496153
Belgium,Srgh,Plant Protection,Cropland,0.01455666865230071
Belgium,Sunf,Fuel,Cropland,0.05794674407440494
Belgium,Sunf,K,Cropland,0
Belgium,Sunf,Labor,Cropland,0.004482583420594795
Belgium,Sunf,Machinery,Cropland,0.21265928145251298
Belgium,Sunf,N,Cropland,0
Belgium,Sunf,P,Cropland,0
Belgium,Sunf,Plant Protection,Cropland,0.016133171079315747
Belgium,SwPo,Fuel,Cropland,0.11230163185751504
Belgium,SwPo,K,Cropland,0.033695948028964286
Belgium,SwPo,Labor,Cropland,0.033059049645110826
Belgium,SwPo,Machinery,Cropland,1.137510512743253
Belgium,SwPo,N,Cropland,0.0980702965022095
Belgium,SwPo,P,Cropland,0.030778985363770363
Belgium,SwPo,Plant Protection,Cropland,0.10289749479016072
Belgium,Whea,Fuel,Cropland,0.03363156066497546
Belgium,Whea,K,Cropland,0.022095703625550356
Belgium,Whea,Labor,Cropland,0.013239308808795848
Belgium,Whea,Machinery,Cropland,0.20363645876972047
Belgium,Whea,N,Cropland,0.06430839114898984
Belgium,Whea,P,Cropland,0.020182941222144504
Belgium,Whea,Plant Protection,Cropland,0.014072979620864796
Belgium,Extensive Grassland,fertCost_N,Grassland,0.027989832005185424
Belgium,Extensive Grassland,fertCost_P,Grassland,0.02220945862545862
Belgium,Extensive Grassland,fuelCost,Grassland,0.019997922930929633
Belgium,Extensive Grassland,labourCost,Grassland,0.09669667314282956
Belgium,Extensive Grassland,machCost,Grassland,0.1603669880830058
Belgium,Extensive Grassland,seedCost,Grassland,0.01545750665829291
Belgium,Grassland,fertCost_N,Grassland,0.043439037892751345
Belgium,Grassland,fertCost_P,Grassland,0.022334326665111835
Belgium,Grassland,fuelCost,Grassland,0.01955668981355257
Belgium,Grassland,labourCost,Grassland,0.1845419268800647
Belgium,Grassland,machCost,Grassland,0.16729954940214073
Belgium,Grassland,seedCost,Grassland,0.010054879081217367
Bulgaria,Barl,Fuel,Cropland,0.03222942352863904
Bulgaria,Barl,K,Cropland,0.010544687487352503
Bulgaria,Barl,Labor,Cropland,0.0028107681382020526
Bulgaria,Barl,Machinery,Cropland,0.11453895494717815
Bulgaria,Barl,N,Cropland,0.030689762090055788
Bulgaria,Barl,P,Cropland,0.009631863794417508
Bulgaria,Barl,Plant Protection,Cropland,0.0076071243917417005
Bulgaria,BeaD,Fuel,Cropland,0.06598256485281523
Bulgaria,BeaD,K,Cropland,0.010210760015977384
Bulgaria,BeaD,Labor,Cropland,0.00127822284041948
Bulgaria,BeaD,Machinery,Cropland,0.13347650509771905
Bulgaria,BeaD,N,Cropland,0.02971788362859089
Bulgaria,BeaD,P,Cropland,0.009326843477280834
Bulgaria,BeaD,Plant Protection,Cropland,0.009963375151565514
Bulgaria,Cass,Fuel,Cropland,0.12322967951655626
Bulgaria,Cass,K,Cropland,0.030122780455216613
Bulgaria,Cass,Labor,Cropland,0.006341728838251079
Bulgaria,Cass,Machinery,Cropland,0.6608472586531097
Bulgaria,Cass,N,Cropland,0.08767077893682447
Bulgaria,Cass,P,Cropland,0.027515136774018754
Bulgaria,Cass,Plant Protection,Cropland,0.38830292024769686
Bulgaria,ChkP,Fuel,Cropland,0.06598256485281523
Bulgaria,ChkP,K,Cropland,0.010210760015977384
Bulgaria,ChkP,Labor,Cropland,0.00127822284041948
Bulgaria,ChkP,Machinery,Cropland,0.13347650509771905
Bulgaria,ChkP,N,Cropland,0.02971788362859089
Bulgaria,ChkP,P,Cropland,0.009326843477280834
Bulgaria,ChkP,Plant Protection,Cropland,0.009963375151565514
Bulgaria,Corn,Fuel,Cropland,0.10417921828230131
Bulgaria,Corn,K,Cropland,0.016877302524553994
Bulgaria,Corn,Labor,Cropland,0.004639565791838021
Bulgaria,Corn,Machinery,Cropland,0.21863129870589015
Bulgaria,Corn,N,Cropland,0.04912050734758252
Bulgaria,Corn,P,Cropland,0.015416282306010512
Bulgaria,Corn,Plant Protection,Cropland,0.007320039651721924
Bulgaria,Gnut,Fuel,Cropland,0.06598256485281523
Bulgaria,Gnut,K,Cropland,0.010210760015977384
Bulgaria,Gnut,Labor,Cropland,0.00127822284041948
Bulgaria,Gnut,Machinery,Cropland,0.13347650509771905
Bulgaria,Gnut,N,Cropland,0.02971788362859089
Bulgaria,Gnut,P,Cropland,0.009326843477280834
Bulgaria,Gnut,Plant Protection,Cropland,0.009963375151565514
Bulgaria,Mill,Fuel,Cropland,0.03222942352863904
Bulgaria,Mill,K,Cropland,0.010544687487352503
Bulgaria,Mill,Labor,Cropland,0.0028107681382020526
Bulgaria,Mill,Machinery,Cropland,0.11453895494717815
Bulgaria,Mill,N,Cropland,0.030689762090055788
Bulgaria,Mill,P,Cropland,0.009631863794417508
Bulgaria,Mill,Plant Protection,Cropland,0.0076071243917417005
Bulgaria,Pota,Fuel,Cropland,0.12322967951655626
Bulgaria,Pota,K,Cropland,0.030122780455216613
Bulgaria,Pota,Labor,Cropland,0.006341728838251079
Bulgaria,Pota,Machinery,Cropland,0.6608472586531097
Bulgaria,Pota,N,Cropland,0.08767077893682447
Bulgaria,Pota,P,Cropland,0.027515136774018754
Bulgaria,Pota,Plant Protection,Cropland,0.38830292024769686
Bulgaria,Rape,Fuel,Cropland,0.05186224810883228
Bulgaria,Rape,K,Cropland,0.011405011081274384
Bulgaria,Rape,Labor,Cropland,8.598955158548049e-4
Bulgaria,Rape,Machinery,Cropland,0.13460535827675627
Bulgaria,Rape,N,Cropland,0.03319368896788814
Bulgaria,Rape,P,Cropland,0.010417711614537199
Bulgaria,Rape,Plant Protection,Cropland,0.014792105830439304
Bulgaria,Rice,Fuel,Cropland,0.032408919080469334
Bulgaria,Rice,K,Cropland,0.042898437545035674
Bulgaria,Rice,Labor,Cropland,0.011260760601800538
Bulgaria,Rice,Machinery,Cropland,0.10770731674692534
Bulgaria,Rice,N,Cropland,0.124853661511671
Bulgaria,Rice,P,Cropland,0.03918484145904751
Bulgaria,Rice,Plant Protection,Cropland,0.0080424558487008
Bulgaria,Soya,Fuel,Cropland,0.06598256485281523
Bulgaria,Soya,K,Cropland,0.010210760015977384
Bulgaria,Soya,Labor,Cropland,0.00127822284041948
Bulgaria,Soya,Machinery,Cropland,0.13347650509771905
Bulgaria,Soya,N,Cropland,0.02971788362859089
Bulgaria,Soya,P,Cropland,0.009326843477280834
Bulgaria,Soya,Plant Protection,Cropland,0.009963375151565514
Bulgaria,Srgh,Fuel,Cropland,0.10417921828230131
Bulgaria,Srgh,K,Cropland,0.016877302524553994
Bulgaria,Srgh,Labor,Cropland,0.004639565791838021
Bulgaria,Srgh,Machinery,Cropland,0.21863129870589015
Bulgaria,Srgh,N,Cropland,0.04912050734758252
Bulgaria,Srgh,P,Cropland,0.015416282306010512
Bulgaria,Srgh,Plant Protection,Cropland,0.007320039651721924
Bulgaria,Sunf,Fuel,Cropland,0.05186224810883228
Bulgaria,Sunf,K,Cropland,0.011405011081274384
Bulgaria,Sunf,Labor,Cropland,8.598955158548049e-4
Bulgaria,Sunf,Machinery,Cropland,0.13460535827675627
Bulgaria,Sunf,N,Cropland,0.03319368896788814
Bulgaria,Sunf,P,Cropland,0.010417711614537199
Bulgaria,Sunf,Plant Protection,Cropland,0.014792105830439304
Bulgaria,SwPo,Fuel,Cropland,0.12322967951655626
Bulgaria,SwPo,K,Cropland,0.030122780455216613
Bulgaria,SwPo,Labor,Cropland,0.006341728838251079
Bulgaria,SwPo,Machinery,Cropland,0.6608472586531097
Bulgaria,SwPo,N,Cropland,0.08767077893682447
Bulgaria,SwPo,P,Cropland,0.027515136774018754
Bulgaria,SwPo,Plant Protection,Cropland,0.38830292024769686
Bulgaria,Whea,Fuel,Cropland,0.032408919080469334
Bulgaria,Whea,K,Cropland,0.01666366578373685
Bulgaria,Whea,Labor,Cropland,0.002539701152107051
Bulgaria,Whea,Machinery,Cropland,0.10770731674692534
Bulgaria,Whea,N,Cropland,0.048498728773562476
Bulgaria,Whea,P,Cropland,0.015221139492010377
Bulgaria,Whea,Plant Protection,Cropland,0.02187225587048125
Bulgaria,Extensive Grassland,fertCost_N,Grassland,0.014885128009080878
Bulgaria,Extensive Grassland,fertCost_P,Grassland,0.006060700506977103
Bulgaria,Extensive Grassland,fuelCost,Grassland,0.04453414087930401
Bulgaria,Extensive Grassland,labourCost,Grassland,0.008725597744187248
Bulgaria,Extensive Grassland,machCost,Grassland,0.06661296666064961
Bulgaria,Extensive Grassland,seedCost,Grassland,0.005391454726017288
Bulgaria,Grassland,fertCost_N,Grassland,0.04458126768965952
Bulgaria,Grassland,fertCost_P,Grassland,0.013361106260498962
Bulgaria,Grassland,fuelCost,Grassland,0.07292821591109747
Bulgaria,Grassland,labourCost,Grassland,0.018301632440976795
Bulgaria,Grassland,machCost,Grassland,0.08167990650523578
Bulgaria,Grassland,seedCost,Grassland,0.005924795184637969
Cyprus,Barl,Fuel,Cropland,0.03856357931283515
Cyprus,Barl,K,Cropland,0.008654384023723262
Cyprus,Barl,Labor,Cropland,0.013303460818744436
Cyprus,Barl,Machinery,Cropland,0.2205934852739607
Cyprus,Barl,N,Cropland,0.02518813260635875
Cyprus,Barl,P,Cropland,0.007905198541072592
Cyprus,Barl,Plant Protection,Cropland,0.004920529518217005
Cyprus,BeaD,Fuel,Cropland,0.072829385289879
Cyprus,BeaD,K,Cropland,0
Cyprus,BeaD,Labor,Cropland,0.008785761610701808
Cyprus,BeaD,Machinery,Cropland,0.1860706142284172
Cyprus,BeaD,N,Cropland,0
Cyprus,BeaD,P,Cropland,0
Cyprus,BeaD,Plant Protection,Cropland,0.006821582816449046
Cyprus,Cass,Fuel,Cropland,0.14306514334423212
Cyprus,Cass,K,Cropland,0.010871270571672078
Cyprus,Cass,Labor,Cropland,0.041273475145103246
Cyprus,Cass,Machinery,Cropland,1.8838699962938459
Cyprus,Cass,N,Cropland,0.03164026509665754
Cyprus,Cass,P,Cropland,0.009930175507258674
Cyprus,Cass,Plant Protection,Cropland,0.47926915870248127
Cyprus,ChkP,Fuel,Cropland,0.072829385289879
Cyprus,ChkP,K,Cropland,0
Cyprus,ChkP,Labor,Cropland,0.008785761610701808
Cyprus,ChkP,Machinery,Cropland,0.1860706142284172
Cyprus,ChkP,N,Cropland,0
Cyprus,ChkP,P,Cropland,0
Cyprus,ChkP,Plant Protection,Cropland,0.006821582816449046
Cyprus,Corn,Fuel,Cropland,0.05513120457053732
Cyprus,Corn,K,Cropland,0
Cyprus,Corn,Labor,Cropland,0.027350409468838606
Cyprus,Corn,Machinery,Cropland,0.32118577218942723
Cyprus,Corn,N,Cropland,0
Cyprus,Corn,P,Cropland,0
Cyprus,Corn,Plant Protection,Cropland,0.013363150772588062
Cyprus,Gnut,Fuel,Cropland,0.072829385289879
Cyprus,Gnut,K,Cropland,0
Cyprus,Gnut,Labor,Cropland,0.008785761610701808
Cyprus,Gnut,Machinery,Cropland,0.1860706142284172
Cyprus,Gnut,N,Cropland,0
Cyprus,Gnut,P,Cropland,0
Cyprus,Gnut,Plant Protection,Cropland,0.006821582816449046
Cyprus,Mill,Fuel,Cropland,0.03856357931283515
Cyprus,Mill,K,Cropland,0.008654384023723262
Cyprus,Mill,Labor,Cropland,0.013303460818744436
Cyprus,Mill,Machinery,Cropland,0.2205934852739607
Cyprus,Mill,N,Cropland,0.02518813260635875
Cyprus,Mill,P,Cropland,0.007905198541072592
Cyprus,Mill,Plant Protection,Cropland,0.004920529518217005
Cyprus,Pota,Fuel,Cropland,0.14306514334423212
Cyprus,Pota,K,Cropland,0.010871270571672078
Cyprus,Pota,Labor,Cropland,0.041273475145103246
Cyprus,Pota,Machinery,Cropland,1.8838699962938459
Cyprus,Pota,N,Cropland,0.03164026509665754
Cyprus,Pota,P,Cropland,0.009930175507258674
Cyprus,Pota,Plant Protection,Cropland,0.47926915870248127
Cyprus,Rape,Fuel,Cropland,0.08234766472794673
Cyprus,Rape,K,Cropland,0
Cyprus,Rape,Labor,Cropland,0.0023028893045936786
Cyprus,Rape,Machinery,Cropland,0.29175530718375703
Cyprus,Rape,N,Cropland,0
Cyprus,Rape,P,Cropland,0
Cyprus,Rape,Plant Protection,Cropland,0.007244569970140904
Cyprus,Rice,Fuel,Cropland,0.040903662860272756
Cyprus,Rice,K,Cropland,0
Cyprus,Rice,Labor,Cropland,0.04198215288463312
Cyprus,Rice,Machinery,Cropland,0.19975920259076888
Cyprus,Rice,N,Cropland,0
Cyprus,Rice,P,Cropland,0
Cyprus,Rice,Plant Protection,Cropland,0.004706119961193881
Cyprus,Soya,Fuel,Cropland,0.072829385289879
Cyprus,Soya,K,Cropland,0
Cyprus,Soya,Labor,Cropland,0.008785761610701808
Cyprus,Soya,Machinery,Cropland,0.1860706142284172
Cyprus,Soya,N,Cropland,0
Cyprus,Soya,P,Cropland,0
Cyprus,Soya,Plant Protection,Cropland,0.006821582816449046
Cyprus,Srgh,Fuel,Cropland,0.05513120457053732
Cyprus,Srgh,K,Cropland,0
Cyprus,Srgh,Labor,Cropland,0.027350409468838606
Cyprus,Srgh,Machinery,Cropland,0.32118577218942723
Cyprus,Srgh,N,Cropland,0
Cyprus,Srgh,P,Cropland,0
Cyprus,Srgh,Plant Protection,Cropland,0.013363150772588062
Cyprus,Sunf,Fuel,Cropland,0.08234766472794673
Cyprus,Sunf,K,Cropland,0
Cyprus,Sunf,Labor,Cropland,0.0023028893045936786
Cyprus,Sunf,Machinery,Cropland,0.29175530718375703
Cyprus,Sunf,N,Cropland,0
Cyprus,Sunf,P,Cropland,0
Cyprus,Sunf,Plant Protection,Cropland,0.007244569970140904
Cyprus,SwPo,Fuel,Cropland,0.14306514334423212
Cyprus,SwPo,K,Cropland,0.010871270571672078
Cyprus,SwPo,Labor,Cropland,0.041273475145103246
Cyprus,SwPo,Machinery,Cropland,1.8838699962938459
Cyprus,SwPo,N,Cropland,0.03164026509665754
Cyprus,SwPo,P,Cropland,0.009930175507258674
Cyprus,SwPo,Plant Protection,Cropland,0.47926915870248127
Cyprus,Whea,Fuel,Cropland,0.040903662860272756
Cyprus,Whea,K,Cropland,0.009272554311132067
Cyprus,Whea,Labor,Cropland,0.013941707625641871
Cyprus,Whea,Machinery,Cropland,0.19975920259076888
Cyprus,Whea,N,Cropland,0.026987284935384374
Cyprus,Whea,P,Cropland,0.008469855579720634
Cyprus,Whea,Plant Protection,Cropland,0.015938926177943166
Cyprus,Extensive Grassland,fertCost_N,Grassland,0.0348977748961661
Cyprus,Extensive Grassland,fertCost_P,Grassland,0.03244226104006982
Cyprus,Extensive Grassland,fuelCost,Grassland,0.024707418318269118
Cyprus,Extensive Grassland,labourCost,Grassland,0.029850068185514382
Cyprus,Extensive Grassland,machCost,Grassland,0.13243561565601294
Cyprus,Extensive Grassland,seedCost,Grassland,0.011622271696885749
Cyprus,Grassland,fertCost_N,Grassland,0.041825344754609105
Cyprus,Grassland,fertCost_P,Grassland,0.019408521913384734
Cyprus,Grassland,fuelCost,Grassland,0.03960485869314981
Cyprus,Grassland,labourCost,Grassland,0.07844972409906024
Cyprus,Grassland,machCost,Grassland,0.1280426925870648
Cyprus,Grassland,seedCost,Grassland,0.008359876183050901
CzechRep,Barl,Fuel,Cropland,0.03312966495620402
CzechRep,Barl,K,Cropland,0.01307009711998009
CzechRep,Barl,Labor,Cropland,0.004974733971517582
CzechRep,Barl,Machinery,Cropland,0.1585720551152157
CzechRep,Barl,N,Cropland,0.03803983490143459
CzechRep,Barl,P,Cropland,0.011938655876757933
CzechRep,Barl,Plant Protection,Cropland,0.004387808202538589
CzechRep,BeaD,Fuel,Cropland,0.06782560862692165
CzechRep,BeaD,K,Cropland,0.011164289649893928
CzechRep,BeaD,Labor,Cropland,0.0022623063428746535
CzechRep,BeaD,Machinery,Cropland,0.1847899148210887
CzechRep,BeaD,N,Cropland,0.03249308181685546
CzechRep,BeaD,P,Cropland,0.010197828754828482
CzechRep,BeaD,Plant Protection,Cropland,0.0060589592614502235
CzechRep,Cass,Fuel,Cropland,0.12667176598477317
CzechRep,Cass,K,Cropland,0.02149526816600855
CzechRep,Cass,Labor,Cropland,0.011224125341758269
CzechRep,Cass,Machinery,Cropland,0.9149019034625617
CzechRep,Cass,N,Cropland,0.06256085511002488
CzechRep,Cass,P,Cropland,0.019634483757607808
CzechRep,Cass,Plant Protection,Cropland,0.22792888484677887
CzechRep,ChkP,Fuel,Cropland,0.06782560862692165
CzechRep,ChkP,K,Cropland,0.011164289649893928
CzechRep,ChkP,Labor,Cropland,0.0022623063428746535
CzechRep,ChkP,Machinery,Cropland,0.1847899148210887
CzechRep,ChkP,N,Cropland,0.03249308181685546
CzechRep,ChkP,P,Cropland,0.010197828754828482
CzechRep,ChkP,Plant Protection,Cropland,0.0060589592614502235
CzechRep,Corn,Fuel,Cropland,0.10708918184729417
CzechRep,Corn,K,Cropland,0.022060933117745617
CzechRep,Corn,Labor,Cropland,0.008211493948594174
CzechRep,Corn,Machinery,Cropland,0.3026814271744066
CzechRep,Corn,N,Cropland,0.06420719340239395
CzechRep,Corn,P,Cropland,0.020151180698597487
CzechRep,Corn,Plant Protection,Cropland,0.004207920305108833
CzechRep,Gnut,Fuel,Cropland,0.06782560862692165
CzechRep,Gnut,K,Cropland,0.011164289649893928
CzechRep,Gnut,Labor,Cropland,0.0022623063428746535
CzechRep,Gnut,Machinery,Cropland,0.1847899148210887
