ANYREGION,SCEN3,Year,Value
CZE,FP,2030,0.1831487
DNK,FP,2030,0.134441875
DEU,FP,2030,0.132506875
EST,FP,2030,0.2406914
IRL,FP,2030,0.070467667
GRC,FP,2030,0.152982813
ESP,FP,2030,0.132495625
FRA,FP,2030,0.123735875
HRV,FP,2030,0.103038188
ITA,FP,2030,0.1998842
CYP,FP,2030,0.10956725
LVA,FP,2030,0.168604563
LTU,FP,2030,0.1154
LUX,FP,2030,0.11073175
HUN,FP,2030,0.078074188
MLT,FP,2030,0.027597375
NLD,FP,2030,0.066353493
AUT,FP,2030,0.2671102
POL,FP,2030,0.0598725
PRT,FP,2030,0.26383875
ROU,FP,2030,0.068685333
SVN,FP,2030,0.136996625
SVK,FP,2030,0.1642475
FIN,FP,2030,0.154915438
SWE,FP,2030,0.19523685
BEL,EA,2030,0.151326288
BGR,EA,2030,0.103894286
CZE,EA,2030,0.229457914
DNK,EA,2030,0.181090536
DEU,EA,2030,0.181651607
EST,EA,2030,0.274587686
IRL,EA,2030,0.132883143
GRC,EA,2030,0.208551786
ESP,EA,2030,0.174979286
FRA,EA,2030,0.178109536
HRV,EA,2030,0.155882786
ITA,EA,2030,0.239151771
CYP,EA,2030,0.164384571
LVA,EA,2030,0.209683357
LTU,EA,2030,0.170114286
LUX,EA,2030,0.180952286
HUN,EA,2030,0.127057714
MLT,EA,2030,0.085808358
NLD,EA,2030,0.117966703
AUT,EA,2030,0.2962822
POL,EA,2030,0.111392143
PRT,EA,2030,0.32773875
ROU,EA,2030,0.118361286
SVN,EA,2030,0.18713225
SVK,EA,2030,0.211295536
FIN,EA,2030,0.198326643
SWE,EA,2030,0.229698457
BEL,BASE,2030,0.109743981
BGR,BASE,2030,0.061585833
CZE,BASE,2030,0.1928563
DNK,BASE,2030,0.144434375
DEU,BASE,2030,0.143150375
EST,BASE,2030,0.2484166
IRL,BASE,2030,0.083693
GRC,BASE,2030,0.163430313
ESP,BASE,2030,0.143002625
FRA,BASE,2030,0.134666375
HRV,BASE,2030,0.114514688
ITA,BASE,2030,0.2094154
CYP,BASE,2030,0.121406583
LVA,BASE,2030,0.177428063
LTU,BASE,2030,0.1266
LUX,BASE,2030,0.122571083
HUN,BASE,2030,0.089963688
MLT,BASE,2030,0.041308042
NLD,BASE,2030,0.07851016
AUT,BASE,2030,0.273917
POL,BASE,2030,0.0722625
PRT,BASE,2030,0.27502125
ROU,BASE,2030,0.08101
SVN,BASE,2030,0.147395125
SVK,BASE,2030,0.174163
FIN,BASE,2030,0.164039938
SWE,BASE,2030,0.20355005
BEL,FP,2040,0.128132834
BGR,FP,2040,0.073494035
CZE,FP,2040,0.210760028
DNK,FP,2040,0.161471898
DEU,FP,2040,0.158778521
EST,FP,2040,0.257731679
IRL,FP,2040,0.102711494
GRC,FP,2040,0.189373737
ESP,FP,2040,0.148020432
FRA,FP,2040,0.157775562
HRV,FP,2040,0.131938935
ITA,FP,2040,0.215104358
CYP,FP,2040,0.134731578
LVA,FP,2040,0.191950709
LTU,FP,2040,0.148688036
LUX,FP,2040,0.158724771
HUN,FP,2040,0.098481985
MLT,FP,2040,0.053819572
NLD,FP,2040,0.088844924
AUT,FP,2040,0.281083588
POL,FP,2040,0.081026589
PRT,FP,2040,0.287666969
ROU,FP,2040,0.086309308
SVN,FP,2040,0.166584505
SVK,FP,2040,0.189506696
FIN,FP,2040,0.181393323
SWE,FP,2040,0.211128071
BEL,EA,2040,0.208825944
BGR,EA,2040,0.156562678
CZE,EA,2040,0.282097674
DNK,EA,2040,0.232456078
DEU,EA,2040,0.231949719
EST,EA,2040,0.312650165
IRL,EA,2040,0.186121799
GRC,EA,2040,0.263935019
ESP,EA,2040,0.215965202
FRA,EA,2040,0.235880303
HRV,EA,2040,0.211855376
ITA,EA,2040,0.27850259
CYP,EA,2040,0.206231618
LVA,EA,2040,0.254135887
LTU,EA,2040,0.228242531
LUX,EA,2040,0.235033962
HUN,EA,2040,0.178526831
MLT,EA,2040,0.142679489
NLD,EA,2040,0.166299305
AUT,EA,2040,0.329284484
POL,EA,2040,0.159621866
PRT,EA,2040,0.351043003
ROU,EA,2040,0.162214061
SVN,EA,2040,0.239817018
SVK,EA,2040,0.25678679
FIN,EA,2040,0.247160406
SWE,EA,2040,0.27093875
BEL,BASE,2040,0.152974061
BGR,BASE,2040,0.101037701
CZE,BASE,2040,0.231907428
DNK,BASE,2040,0.183225586
DEU,BASE,2040,0.181219159
EST,BASE,2040,0.275012559
IRL,BASE,2040,0.12849945
GRC,BASE,2040,0.210110581
ESP,BASE,2040,0.17076752
FRA,BASE,2040,0.180625949
HRV,BASE,2040,0.156572792
ITA,BASE,2040,0.235775574
CYP,BASE,2040,0.156912655
LVA,BASE,2040,0.211012578
LTU,BASE,2040,0.172248036
LUX,BASE,2040,0.179390582
HUN,BASE,2040,0.125119591
MLT,BASE,2040,0.083456545
NLD,BASE,2040,0.114597347
AUT,BASE,2040,0.2965253
POL,BASE,2040,0.107507589
PRT,BASE,2040,0.303141469
ROU,BASE,2040,0.112294286
SVN,BASE,2040,0.188443417
SVK,BASE,2040,0.209651671
FIN,BASE,2040,0.201330055
SWE,BASE,2040,0.230865795
BEL,FP,2050,0.155030762
BGR,FP,2050,0.095874981
CZE,FP,2050,0.235965225
DNK,FP,2050,0.185750652
DEU,FP,2050,0.182469916
EST,FP,2050,0.273652169
IRL,FP,2050,0.130425832
GRC,FP,2050,0.220403499
ESP,FP,2050,0.162644247
FRA,FP,2050,0.187621073
HRV,FP,2050,0.158027021
ITA,FP,2050,0.229552637
CYP,FP,2050,0.156570619
LVA,FP,2050,0.212941397
LTU,FP,2050,0.17808256
LUX,FP,2050,0.194548132
HUN,FP,2050,0.117596073
MLT,FP,2050,0.077517551
NLD,FP,2050,0.10917127
AUT,FP,2050,0.294218573
POL,FP,2050,0.100317104
PRT,FP,2050,0.307325249
ROU,FP,2050,0.102590504
SVN,FP,2050,0.192843748
SVK,FP,2050,0.21205955
FIN,FP,2050,0.205010652
SWE,FP,2050,0.226190679
BEL,EA,2050,0.253030224
BGR,EA,2050,0.195085844
CZE,EA,2050,0.324495241
DNK,EA,2050,0.271769062
DEU,EA,2050,0.270661302
EST,EA,2050,0.344285523
IRL,EA,2050,0.22240014
GRC,EA,2050,0.303296674
ESP,EA,2050,0.249485826
FRA,EA,2050,0.278610038
HRV,EA,2050,0.25499425
ITA,EA,2050,0.311917056
CYP,EA,2050,0.235165862
LVA,EA,2050,0.288205576
LTU,EA,2050,0.271672634
LUX,EA,2050,0.264547105
HUN,EA,2050,0.220290343
MLT,EA,2050,0.184450472
NLD,EA,2050,0.201798868
AUT,EA,2050,0.356940397
POL,EA,2050,0.195518561
PRT,EA,2050,0.366831635
ROU,EA,2050,0.195479523
SVN,EA,2050,0.279462306
SVK,EA,2050,0.291311404
FIN,EA,2050,0.284169422
SWE,EA,2050,0.305886952
BEL,BASE,2050,0.18976555
BGR,BASE,2050,0.133961225
CZE,BASE,2050,0.265993483
DNK,BASE,2050,0.216128845
DEU,BASE,2050,0.213645605
EST,BASE,2050,0.298796946
IRL,BASE,2050,0.164024564
GRC,BASE,2050,0.247579833
ESP,BASE,2050,0.195532815
FRA,BASE,2050,0.218624669
HRV,BASE,2050,0.192434836
ITA,BASE,2050,0.259744504
CYP,BASE,2050,0.185359782
LVA,BASE,2050,0.23952943
LTU,BASE,2050,0.21027448
LUX,BASE,2050,0.218014312
HUN,BASE,2050,0.156289066
MLT,BASE,2050,0.118737821
NLD,BASE,2050,0.144804873
AUT,BASE,2050,0.31687277
POL,BASE,2050,0.137298081
PRT,BASE,2050,0.324934638
ROU,BASE,2050,0.139109388
SVN,BASE,2050,0.222821362
SVK,BASE,2050,0.239563552
FIN,BASE,2050,0.232727001
SWE,BASE,2050,0.25566459
BEL,Base_FPORG,2020,0.0725
BGR,Base_FPORG,2020,0.023
CZE,Base_FPORG,2020,0.1533
DNK,Base_FPORG,2020,0.1145
DEU,Base_FPORG,2020,0.0959
EST,Base_FPORG,2020,0.2241
IRL,Base_FPORG,2020,0.0166
GRC,Base_FPORG,2020,0.1015
ESP,Base_FPORG,2020,0.0998
FRA,Base_FPORG,2020,0.0877
HRV,Base_FPORG,2020,0.0721
ITA,Base_FPORG,2020,0.1596
CYP,Base_FPORG,2020,0.0463
LVA,Base_FPORG,2020,0.1479
LTU,Base_FPORG,2020,0.08
LUX,Base_FPORG,2020,0.0463
HUN,Base_FPORG,2020,0.0603
MLT,Base_FPORG,2020,0.0062
NLD,Base_FPORG,2020,0.0395
AUT,Base_FPORG,2020,0.2569
POL,Base_FPORG,2020,0.0345
PRT,Base_FPORG,2020,0.0805
ROU,Base_FPORG,2020,0.0359
SVN,Base_FPORG,2020,0.1029
SVK,Base_FPORG,2020,0.1167
FIN,Base_FPORG,2020,0.1393
SWE,Base_FPORG,2020,0.2031
BEL,Base_FPORG,2030,0.098281481
BGR,Base_FPORG,2030,0.048659167
CZE,Base_FPORG,2030,0.1831487
DNK,Base_FPORG,2030,0.134441875
DEU,Base_FPORG,2030,0.132506875
EST,Base_FPORG,2030,0.2406914
IRL,Base_FPORG,2030,0.070467667
GRC,Base_FPORG,2030,0.152982813
ESP,Base_FPORG,2030,0.132495625
FRA,Base_FPORG,2030,0.123735875
HRV,Base_FPORG,2030,0.103038188
ITA,Base_FPORG,2030,0.1998842
CYP,Base_FPORG,2030,0.10956725
LVA,Base_FPORG,2030,0.168604563
LTU,Base_FPORG,2030,0.1154
LUX,Base_FPORG,2030,0.11073175
HUN,Base_FPORG,2030,0.078074188
MLT,Base_FPORG,2030,0.027597375
NLD,Base_FPORG,2030,0.066353493
AUT,Base_FPORG,2030,0.2671102
POL,Base_FPORG,2030,0.0598725
PRT,Base_FPORG,2030,0.26383875
ROU,Base_FPORG,2030,0.068685333
SVN,Base_FPORG,2030,0.136996625
SVK,Base_FPORG,2030,0.1642475
FIN,Base_FPORG,2030,0.154915438
SWE,Base_FPORG,2030,0.19523685
BEL,Base_FPORG,2040,0.128132834
BGR,Base_FPORG,2040,0.073494035
CZE,Base_FPORG,2040,0.210760028
DNK,Base_FPORG,2040,0.161471898
DEU,Base_FPORG,2040,0.158778521
EST,Base_FPORG,2040,0.257731679
IRL,Base_FPORG,2040,0.102711494
GRC,Base_FPORG,2040,0.189373737
ESP,Base_FPORG,2040,0.148020432
FRA,Base_FPORG,2040,0.157775562
HRV,Base_FPORG,2040,0.131938935
ITA,Base_FPORG,2040,0.215104358
CYP,Base_FPORG,2040,0.134731578
LVA,Base_FPORG,2040,0.191950709
LTU,Base_FPORG,2040,0.148688036
LUX,Base_FPORG,2040,0.158724771
HUN,Base_FPORG,2040,0.098481985
MLT,Base_FPORG,2040,0.053819572
NLD,Base_FPORG,2040,0.088844924
AUT,Base_FPORG,2040,0.281083588
POL,Base_FPORG,2040,0.081026589
PRT,Base_FPORG,2040,0.287666969
ROU,Base_FPORG,2040,0.086309308
SVN,Base_FPORG,2040,0.166584505
SVK,Base_FPORG,2040,0.189506696
FIN,Base_FPORG,2040,0.181393323
SWE,Base_FPORG,2040,0.211128071
BEL,Base_FPORG,2050,0.155030762
BGR,Base_FPORG,2050,0.095874981
CZE,Base_FPORG,2050,0.235965225
DNK,Base_FPORG,2050,0.185750652
DEU,Base_FPORG,2050,0.182469916
EST,Base_FPORG,2050,0.273652169
IRL,Base_FPORG,2050,0.130425832
GRC,Base_FPORG,2050,0.220403499
ESP,Base_FPORG,2050,0.162644247
FRA,Base_FPORG,2050,0.187621073
HRV,Base_FPORG,2050,0.158027021
ITA,Base_FPORG,2050,0.229552637
CYP,Base_FPORG,2050,0.156570619
LVA,Base_FPORG,2050,0.212941397
LTU,Base_FPORG,2050,0.17808256
LUX,Base_FPORG,2050,0.194548132
HUN,Base_FPORG,2050,0.117596073
MLT,Base_FPORG,2050,0.077517551
NLD,Base_FPORG,2050,0.10917127
AUT,Base_FPORG,2050,0.294218573
POL,Base_FPORG,2050,0.100317104
PRT,Base_FPORG,2050,0.307325249
ROU,Base_FPORG,2050,0.102590504
SVN,Base_FPORG,2050,0.192843748
SVK,Base_FPORG,2050,0.21205955
FIN,Base_FPORG,2050,0.205010652
SWE,Base_FPORG,2050,0.226190679
BEL,Base_EAORG,2020,0.0725
BGR,Base_EAORG,2020,0.023
CZE,Base_EAORG,2020,0.1533
DNK,Base_EAORG,2020,0.1145
DEU,Base_EAORG,2020,0.0959
EST,Base_EAORG,2020,0.2241
IRL,Base_EAORG,2020,0.0166
GRC,Base_EAORG,2020,0.1015
ESP,Base_EAORG,2020,0.0998
FRA,Base_EAORG,2020,0.0877
HRV,Base_EAORG,2020,0.0721
ITA,Base_EAORG,2020,0.1596
CYP,Base_EAORG,2020,0.0463
LVA,Base_EAORG,2020,0.1479
LTU,Base_EAORG,2020,0.08
LUX,Base_EAORG,2020,0.0463
HUN,Base_EAORG,2020,0.0603
MLT,Base_EAORG,2020,0.0062
NLD,Base_EAORG,2020,0.0395
AUT,Base_EAORG,2020,0.2569
POL,Base_EAORG,2020,0.0345
PRT,Base_EAORG,2020,0.0805
ROU,Base_EAORG,2020,0.0359
SVN,Base_EAORG,2020,0.1029
SVK,Base_EAORG,2020,0.1167
FIN,Base_EAORG,2020,0.1393
SWE,Base_EAORG,2020,0.2031
BEL,Base_EAORG,2030,0.151326288
BGR,Base_EAORG,2030,0.103894286
CZE,Base_EAORG,2030,0.229457914
DNK,Base_EAORG,2030,0.181090536
DEU,Base_EAORG,2030,0.181651607
EST,Base_EAORG,2030,0.274587686
IRL,Base_EAORG,2030,0.132883143
GRC,Base_EAORG,2030,0.208551786
ESP,Base_EAORG,2030,0.174979286
FRA,Base_EAORG,2030,0.178109536
HRV,Base_EAORG,2030,0.155882786
ITA,Base_EAORG,2030,0.239151771
CYP,Base_EAORG,2030,0.164384571
LVA,Base_EAORG,2030,0.209683357
LTU,Base_EAORG,2030,0.170114286
LUX,Base_EAORG,2030,0.180952286
HUN,Base_EAORG,2030,0.127057714
MLT,Base_EAORG,2030,0.085808358
NLD,Base_EAORG,2030,0.117966703
AUT,Base_EAORG,2030,0.2962822
POL,Base_EAORG,2030,0.111392143
PRT,Base_EAORG,2030,0.32773875
ROU,Base_EAORG,2030,0.118361286
SVN,Base_EAORG,2030,0.18713225
SVK,Base_EAORG,2030,0.211295536
FIN,Base_EAORG,2030,0.198326643
SWE,Base_EAORG,2030,0.229698457
BEL,Base_EAORG,2040,0.208825944
BGR,Base_EAORG,2040,0.156562678
CZE,Base_EAORG,2040,0.282097674
DNK,Base_EAORG,2040,0.232456078
DEU,Base_EAORG,2040,0.231949719
EST,Base_EAORG,2040,0.312650165
IRL,Base_EAORG,2040,0.186121799
GRC,Base_EAORG,2040,0.263935019
ESP,Base_EAORG,2040,0.215965202
FRA,Base_EAORG,2040,0.235880303
HRV,Base_EAORG,2040,0.211855376
ITA,Base_EAORG,2040,0.27850259
CYP,Base_EAORG,2040,0.206231618
LVA,Base_EAORG,2040,0.254135887
LTU,Base_EAORG,2040,0.228242531
LUX,Base_EAORG,2040,0.235033962
HUN,Base_EAORG,2040,0.178526831
MLT,Base_EAORG,2040,0.142679489
NLD,Base_EAORG,2040,0.166299305
AUT,Base_EAORG,2040,0.329284484
POL,Base_EAORG,2040,0.159621866
PRT,Base_EAORG,2040,0.351043003
ROU,Base_EAORG,2040,0.162214061
SVN,Base_EAORG,2040,0.239817018
SVK,Base_EAORG,2040,0.25678679
FIN,Base_EAORG,2040,0.247160406
SWE,Base_EAORG,2040,0.27093875
BEL,Base_EAORG,2050,0.253030224
BGR,Base_EAORG,2050,0.195085844
CZE,Base_EAORG,2050,0.324495241
DNK,Base_EAORG,2050,0.271769062
DEU,Base_EAORG,2050,0.270661302
EST,Base_EAORG,2050,0.344285523
IRL,Base_EAORG,2050,0.22240014
GRC,Base_EAORG,2050,0.303296674
ESP,Base_EAORG,2050,0.249485826
FRA,Base_EAORG,2050,0.278610038
HRV,Base_EAORG,2050,0.25499425
ITA,Base_EAORG,2050,0.311917056
CYP,Base_EAORG,2050,0.235165862
LVA,Base_EAORG,2050,0.288205576
LTU,Base_EAORG,2050,0.271672634
LUX,Base_EAORG,2050,0.264547105
HUN,Base_EAORG,2050,0.220290343
MLT,Base_EAORG,2050,0.184450472
NLD,Base_EAORG,2050,0.201798868
AUT,Base_EAORG,2050,0.356940397
POL,Base_EAORG,2050,0.195518561
PRT,Base_EAORG,2050,0.366831635
ROU,Base_EAORG,2050,0.195479523
SVN,Base_EAORG,2050,0.279462306
SVK,Base_EAORG,2050,0.291311404
FIN,Base_EAORG,2050,0.284169422
SWE,Base_EAORG,2050,0.305886952
